AMDBId;run_material;raw_path;structure_content_id;run_content_id;status
anyt.am-1-1;CrSb;2/Runs/ht.task.tetralith--default.CrSb_SCF.cleanup.0.unclaimed.3.finished;5493df104ec8ebb789cfa1f655e7828168de617c43d7c3be6d81e6c1fd44acaf;92fe00920372e07c3ac1697ff07133fa955b7a5a0978af7541e516d487df766b;auto
anyt.am-1-10;NiF2;7/Runs/ht.task.tetralith--default.NiF2_SCF.cleanup.0.unclaimed.3.finished;50a0956fead46af403b8af1d3213be7b08550b8bdae84081c42b23296292ee01;479fd443b22415a5dcbb689e79d82c30f30e96d6dd6df38c3212110c1d54cf93;auto
anyt.am-1-100;TmVO3-3;10/Runs/ht.task.tetralith--default.TmVO3-3_SCF.cleanup.0.unclaimed.3.finished;eef8c43f174b88f7883e5bc4dad6d7043cd6194fb42066eb979d356398fa2c24;6c1193618a8f2db8cd2c16b052ff041e3b08b56ad7136f0a6120c5b645086477;auto
anyt.am-1-101;Fe4O5;4/Runs/ht.task.tetralith--default.Fe4O5_SCF.cleanup.0.unclaimed.3.finished;a277fef4defbc1ed744f9873915d86494d71475b49c0b1cb0289704880846055;9d94c189c59eef6679225155a311de6287796f6075ef5bc2aa8e53b75439edd4;auto
anyt.am-1-103;LuFeO3;6/Runs/ht.task.tetralith--default.LuFeO3_SCF.cleanup.0.unclaimed.3.finished;e10c598b10b1f4baff1748203441410bf7d59237082cd0f08f0df65af64f08b2;cd04ca69e9883a54defcc113d0ceb943873ebfce6f3e69322703003c17a046d2;auto
anyt.am-1-104;Sr2YbRuO6;9/Runs/ht.task.tetralith--default.Sr2YbRuO6_SCF.cleanup.0.unclaimed.3.finished;9eb1b1cb3811d543bf4bab0c6ffb0c80b8ce76c22f7aba58565065c2661ffc9f;5c0bcb19354737631da43869a35b7a22fa8156c2281c8bce4fc055cda0b0b842;auto
anyt.am-1-105;Sr2TmRuO6;9/Runs/ht.task.tetralith--default.Sr2TmRuO6_SCF.cleanup.0.unclaimed.3.finished;7a22f8be85b814acca97e9e88f5c1516ce15f3a0220d646db315e58e5b420100;8ff9505e461586af4901f427af4626b29bbb6e6b9611b03984a8e3b3dae51e0f;auto
anyt.am-1-106;Er2Cu2O5;3/Runs/ht.task.tetralith--default.Er2Cu2O5_SCF.cleanup.0.unclaimed.3.finished;6468a20be0309cbdc24b24981ce030b590e74ef5d03ca9fb85ba876c0a5e64d4;f0ab78d94f92f1350833f6db7d3426534586055c2280210641dac3ac7361efe2;auto
anyt.am-1-107;MgCr2O4;6/Runs/ht.task.tetralith--default.MgCr2O4_SCF.cleanup.0.unclaimed.3.finished;1d00869069f65a137535646322103200f873e6d889dc003f19c20e155116f00a;2807ccccb15226424262c34457e14fe21606b25a241d4c400fd05e1eac26724c;auto
anyt.am-1-108;Y2Cu2O5;10/Runs/ht.task.tetralith--default.Y2Cu2O5_SCF.cleanup.0.unclaimed.3.finished;59dfbfb92dbd8c9d7bf66554679fa46b1e092ab022567f3c3f834dc6040f9617;81e5834dcd85e2c0f26dbeb1bdb917b42f48e9179d1d7258438e931a4dc303f1;auto
anyt.am-1-109;LaCrO3-2;5/Runs/ht.task.tetralith--default.LaCrO3-2_SCF.cleanup.0.unclaimed.3.finished;b2f94738d533252381f2dd2727c921718dcdaa4da2681e5c8685eed8bd0e76d7;b344a99cac3fd3d31a9746b9f26c271232eebe95d09ae750d0f55ceefa56a7fc;auto
anyt.am-1-110;Sr2TbRuO6;9/Runs/ht.task.tetralith--default.Sr2TbRuO6_SCF.cleanup.0.unclaimed.3.finished;e72d137eb2afc46e577af6301b8c3fc395c53eec965a6cea27b35144186c8783;4352e16dcd7da42c3d14396f522db8c88eca43289ee73925ba1fb7b683d3ad3d;auto
anyt.am-1-112;La2NiO4;5/Runs/ht.task.tetralith--default.La2NiO4_SCF.cleanup.0.unclaimed.3.finished;19419162f607b122c9b46488c85d3b7548a80dd2637a05827550097f4bd50a6e;59a0252115103023d1ef3e972902fa06ae1e10f0b2edd4d88a119e8a9fdf720f;auto
anyt.am-1-113;YVO3;10/Runs/ht.task.tetralith--default.YVO3_SCF.cleanup.0.unclaimed.3.finished;69c0cf2bea1f2dd2653a200df5aacd7987ab3b0c44cce979968d000dd19205c8;ba081b4c2cd60a097905ac67304687b0365f16c902d61032152102a6d50b9cf4;auto
anyt.am-1-114;CaNi3P4O14;2/Runs/ht.task.tetralith--default.CaNi3P4O14_SCF.cleanup.0.unclaimed.3.finished;d7aa70da515b673e70c4572c0b3f57f10058319acc7d8258442950492e0f1586;3f9d5c1abe486af9279a7112b39ff3a2c16bce6b696b0076f4ab3d931bf30a04;auto
anyt.am-1-115;Sr2NiTeO6;8/Runs/ht.task.tetralith--default.Sr2NiTeO6_SCF.cleanup.0.unclaimed.3.finished;814033835bc2f42eb600b1f0272de7c78a72317c94a152e560597edfaa31a06c;6a9fa097f879bf0f72a467caaf5dc7d6093ba608b14bc3f8cf44d612ddb0d292;auto
